,2.0,1.0,0.5,0.1
0,0.7230136780170608,0.7224314266634284,0.7175457692822134,0.7112953985793189
1,0.7218906060310085,0.7197009197209943,0.7178618183830119,0.7067108288306959
2,0.7232161772864678,0.7221116157725351,0.7187332143837397,0.7119971125242539
3,0.7220600483412847,0.7215779538064462,0.7183931291099375,0.7101410470245927
4,0.7177648832047749,0.720350383585798,0.7175588878872918,0.7109496816929586
5,0.7163379419604373,0.7204944302023091,0.7180346537181904,0.7113040688940881
6,0.7206892922771851,0.7191303773843422,0.7147705031035019,0.7097807595803862
7,0.7186294373113606,0.719131599219927,0.7149384414680067,0.7112154429680955
8,0.7122094442483442,0.7111276200451584,0.7078221773572668,0.7095902437354791
9,0.7223197687996683,0.7215304880454807,0.7165333095228484,0.705154074536003
