,1,0.1,0.01,0.001
0,0.720566899,0.722262003,0.722401567,0.722431427
1,0.718563162,0.719577903,0.719699649,0.71970092
2,0.722089626,0.722409799,0.72210897,0.722111616
3,0.719848052,0.721455951,0.721586894,0.721577954
4,0.71968075,0.720305479,0.720348043,0.720350384
5,0.715516058,0.72004145,0.72036737,0.72049443
6,0.717716748,0.718975292,0.719079077,0.719130377
7,0.719174299,0.719147852,0.719141823,0.719131599
8,0.710052046,0.710936237,0.711039016,0.71112762
9,0.720579458,0.721460152,0.721510953,0.721530488
