,2.0,1.0,0.5,0.1
0,0.6455190351689157,0.7194567721370689,0.6981217120245848,0.7021708080754184
1,0.6410099222137418,0.7364871605115844,0.7085035560205667,0.6798503702947589
2,0.6408792344947528,0.7205525383962839,0.6959989065536412,0.6834811109848055
3,0.6183575453598513,0.7246188403746174,0.7004221831963432,0.6931166237098454
4,0.6366077179991014,0.7221070649471566,0.6996848415392074,0.6676189857550388
5,0.657889807053889,0.7325839281944446,0.7094253297545005,0.6842770301254524
6,0.655436029134855,0.7246363362896596,0.6968989312219148,0.6904089133664152
7,0.6008883091715713,0.6626926773892461,0.6927907743749996,0.7050295052657871
8,0.6260861966703244,0.730327825116633,0.7060515180267856,0.6878284108914681
9,0.6657327134559633,0.7441263989965659,0.7150047867276955,0.6904879833029041
